molecula|Wavelength (max. Transition) (nm)|Num. of Rotatable bonds|Contribuition (max. transition)|Heavy atom count|Zero Point Energy|Highest Occupied Molecular Orbital Energy|pIC50|RNCS|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Absorption Energy (max. Transition) (eV)|PNSA4|pIC50
8_a47|337.87|4.0|0.6877800000000001|29.0|-1685.8518170000002|-0.2085199999999999|7.3|90.32612351|0.000263|0.0|3.6696|-20.78278301|7.3
9_a1|370.88|4.0|0.70296|27.0|-1187.011122|-0.21015|5.2218|63.73880199|0.0057799999999999|0.0|3343.0|-18.38986221|5.2218
19i_a38|217.36|5.0|0.4342|31.0|-1431.181148|-0.2052|7.9031|137.7658863|0.0196|0.0|5.7041|-24.98593175|7.9031
17c_a50|292.44|6.0|0.63122|33.0|-1410.838844|-0.19818|7.1612|133.46240020000002|0.0165|0.0|4.2397|-14.96042594|7.1612
12e_a36|323.18|5.0|0.6814600000000001|30.0|-1271.999945|-0.20151|7.8539|65.27404529|0.02|0.0|3.8364|-23.02695694|7.8539
3c_a12|311.14|3.0|0.43415|23.0|-1327.351991|-0.22035|7699.0|73.9854678|0.0318|0.0|3.9848|-17.19277136|7699.0
12b_a32|347.27|7.0|0.70258|27.0|-1880.537231|-0.19976|7585.0|90.57560878|0.0148|0.0|3.5703|-17.22027667|7585.0
41_a47|308.67|4.0|0.6779|26.0|-1162.288187|-0.2026099999999999|8.0|54.15850042|0.0436|0.0|4.0167|-16.54473457|8.0
4c_a49|216.0|7.0|0.4164199999999999|31.0|-1332.336755|-0.22158|6.5935|82.02101639|109.0|0.0|5.74|-19.20596967|6.5935
12g_a30|244.53|6.0|0.26238|32.0|-1742.965961|-0.2083699999999999|8.0334|133.2169768|0.00427|0.0|5.0703|-27.49531395|8.0334
4f_a46|272.61|3.0|0.69208|25.0|-1033.315821|-0.2202599999999999|6.7375|7.730129301|0.00872|0.0|4548.0|-11.95391778|6.7375
14a_a10|222.16|7.0|0.34245|35.0|-1489.42155|0.19621|7.1308|67.52851799|0.00743|0.0|5.5808|-13.76552695|7.1308
8_a20 (IN-1130)|248.98|5.0|0.4377|32.0|-1368.118751|-0.20636|7.4437|336.574332|0.0119|0.0|4.9797|-23.66117267|7.4437
12ak_a36|320.09|6.0|0.69463|32.0|-1350.57563|-0.20204|7.3372|113.186508|0.00589|0.0|3.8734|-23.5478668|7.3372
8a_a50|220.53|2.0|0.3462199999999999|24.0|-1006.508913|-0.20051|7.3279|133.8183888|0.0234|0.0|5.622000000000001|-15.95574341|7.3279
14y_a23|340.49|5.0|0.61338|32.0|-2548.8917260000003|-0.2331599999999999|8.4225|39.66769923|0.000354|0.0|3.6413|-23.71943531|8.4225
8_a4|231.56|2.0|0.30471|25.0|-1450.071352|-0.22685|7.2676|11.02158946|0.00506|0.0|5.3544|-12.71482105|7.2676
12a_a30|245.76|5.0|0.35338|29.0|-1575.538241|-0.19994|7.9469|85.47365107|0.0056|0.0|5045.0|-23.35372432|7.9469
12e_a40|286.76|2.0|0.6826|24.0|-2248.154966|-0.19912|5.9318|206.0119599|0.00086|0.0|4.3236|-26.26807189|5.9318
3d_a32|353.18|4.0|0.7035100000000001|23.0|-1672.585902|-0.19671|8.0915|62.43434632|0.00251|0.0|3.5105|-15.52441767|8.0915
3a_a12|292.86|3.0|-0.34688|23.0|-951.217594|-0.22157|6.7122|71.11710277|0.0263|0.0|4.2336|-17.08854808|6.7122
16h_a32|342.67|7.0|0.70219|28.0|-1955.772465|-0.2|8.0655|70.02855767|0.0073599999999999|0.0|3.6182|-24.62973479|8.0655
12bb_a36|236.69|5.0|0.38838|31.0|-1431.178978|-0.21175|8.0|88.91215764|0.0201|0.0|5.2382|-24.95418524|8.0
12ba_a36|236.13|5.0|0.3989999999999999|33.0|-1417.187763|-0.21033|7.6778|100.798163|0.0244|0.0|5.2506|-25.28122447|7.6778
47o_a18|385.04|9.0|0.69248|34.0|-1455.162559|-0.18223|7.3279|77.37089184|0.00381|0.0|3.22|-25.08909125|7.3279
12an_a36|239.49|6.0|0.44822|31.0|-1670.182102|-0.21035|7.3979|82.43567331|0.0132|0.0|5.1771|-24.99720254|7.3979
8f_a12|297.01|3.0|0.59107|27.0|-1480.955408|-0.2124|6.1898|83.13642146|0.00211|0.0|4.1744|-21.72151161|6.1898
4j_a46|229.82|4.0|0.37853|27.0|-1131.761156|-0.20071|6.0942|70.56141095|0.00176|0.0|5.3949|-14.65075732|6.0942
8_a10|264.0|4.0|0.41583|29.0|-1257.59269|-0.21789|6279.0|32.98071169999999|0.00926|0.0|4.6964|-16.36478554|6279.0
1l_a5|267.19|4.0|0.45892|26.0|-1069.047151|-0.21939|7.4949|167.86839980000002|0.00356|0.0|4.6403|-14.9768065|7.4949
3q_a32|342.16|7.0|0.70216|28.0|-1919.821707|-0.19969|7.5528|41.73511731|0.00992|0.0|3.6236|-17.27560785|7.5528
12f_a31|323.68|10.0|0.7006600000000001|30.0|-1696.466804|-0.19211|6.8861|159.84734269999998|0.0101|0.0|3.8305|-23.56842919|6.8861
9g_a40|402.84|3.0|0.70233|23.0|-1332.31775|-0.19005|5.45|65.74631496|247.0|0.0|3.0778|-16.43578193|5.45
16j_a32|341.65|8.0|0.70207|30.0|-2034.344833|-0.2002799999999999|8.0315|34.66998636|0.00172|0.0|3629.0|-24.52188465|8.0315
18_a10|214.93|5.0|0.37729|31.0|-1336.126835|-0.20692|6.8861|40.99617452|0.00705|0.0|5.7687|-15.79795381|6.8861
12d_a31|322.23|9.0|0.7006600000000001|29.0|-1657.1792779999998|-0.19096|6.2924|157.30671669999998|0.0167|0.0|3.8477|-23.08311261|6.2924
13e_a6|207.04|5.0|0.38609|32.0|-1347.014564|-0.20804|7.9208|66.59852278|0.00688|0.0|5.9885|-22.01054293|7.9208
9d_a40|269.1|2.0|0.4557199999999999|22.0|-1677.429981|-0.20781|6.9706|108.1468558|0.000727|0.0|4.6073|-16.29154841|6.9706
47u_a18|397.57|8.0|0.69143|34.0|-1509.771642|-0.19109|5.7055|86.37253771|0.00472|0.0|3.1186|-23.98671253|5.7055
4_a38 (LY-2157299)|266.68|3.0|0.4|28.0|-1198.442536|-0.22|7.1586|260.7739337|0.0375|0.0|4.65|-18.48863993|7.1586
7h_a8|315.62|3.0|0.6963199999999999|28.0|-1285.017252|-0.22875|4.9788|70.28953528|0.00118|1.0|3.9282|-23.65556243|4.9788
