molecula|Fraction Csp3|MATS8s|GeomRadius|SssssC|SRW09|nFaHRing|FNSA3|PBF|Dipole (water)|AATSC1c|CYP2D6 inhibitor|CYP3A4 inhibitor|Lipinski|Synthetic Accessibility|WNSA5|AATSC8d|Absorption Energy (HOMO-LUMO transition) (eV)|DPSA3|pIC50
4r_a46|0.35|-0.077483502|5.81085807|-0.03033057|7.832410927000001|0|-0.079297367|0.261414008|3.5979|-0.002826188|1.0|1.0|0.0|3.82|-22.88867429|-0.048758575|4.5209|48.13649426|5.8499
17f_a50|0.26|-0.132153434|7.200480876|0.0|7.934155233999999|1|-0.047333916|0.333180181|8.312999999999999|-0.002205848|1.0|1.0|0.0|3.81|-28.30463221|-0.132773563|4.0664|39.19906437|6.4001
2_a3|0.0|-0.192034735|4.88513521|0.0|6.823286122000001|1|-0.104577702|0.4551292289999999|5.4999|-0.008422099|1.0|1.0|0.0|2.97|-20.68016573|0.036301827|3.3354|54.67257594|5.4
13_a12|0.12|-0.226526433|6.06407675|0.0|0.0|0|-0.058167326|0.122164874|1.5686|-0.0069874069999999|1.0|1.0|0.0|2.7|-22.2236882|0.021322992|3.9329|32.52766981|7.0315
11d_a31|0.32|-0.057505249|7.885647873|0.0|7.765993078999999|0|-0.134031221|0.197166451|4.6622|-0.017317263|1.0|1.0|0.0|3.6|-50.24081482|-0.078235092|3.8009|103.1255906|7.5229
26_a20|0.08|-0.070815554|7.598632688999999|0.0|6.842683282|1|-0.0862808009999999|0.423153994|4.8742|-0.00578453|1.0|1.0|0.0|3.42|-37.66339899|-0.033102079|3.8894|66.82118688|6.8827
3g_a32|0.28|-0.1015732219999999|5.917878616|-0.047725143|7.78113851|1|-0.070213101|0.273439311|5.5816|-0.006258272|0.0|1.0|0.0|3.43|-30.18744099|-0.125170068|3.5456|45.55465473|7.8539
5_a15|0.15|0.092692253|7.795174584|0.0|0.0|0|-0.06128567|0.743577162|6.35|-0.008878343|1.0|1.0|0.0|3.79|-54.73655332|0.0118220069999999|3.6257|69.82487767|7.8861
8a_a31|0.2|0.0502030679999999|5.83708559|0.0|7.765993078999999|0|-0.122293189|0.272259026|5.3042|-0.015034136|1.0|1.0|0.0|3.34|-33.35560699|-0.01861065|3.8097|79.02944672|6.1024
37_a18|0.3|0.020848396|9.460456975|0.0|7.03438793|0|-0.068500679|0.385121249|3.0375|-0.005351023|1.0|1.0|0.0|4.31|-40.02719655|-0.011713125|3.2127|56.74339533|7.4559
1h_a5|0.05|0.070628165|6.711386288|0.0|6.605297921|0|-0.067599619|0.39793593|3.3752|-0.001978474|1.0|1.0|0.0|2.8|-18.90429957|-0.044117647|4.3651|39.84574434|7.5528
4S4k_a46|0.33|-0.003017362|5.523352655|0.173180233|7.825245291|0|-0.089589915|0.199356973|2.5693|-0.0049602|1.0|1.0|0.0|3.8|-24.18078772|-0.1032662209999999|4.0774|51.59865384|6.7055
6_a15|0.23|0.0371776429999999|6.110075236|0.0|0.0|0|-0.07051817|0.398681391|1.9421|-0.00951284|1.0|1.0|0.0|3.29|-41.87249058|-0.009025163|3.7696|58.34873264|7.4559
11_a47|0.04|-0.058523885|5.966142027|0.0|0.0|1|-0.08164597|0.572646116|4.6111|-0.007767503|1.0|1.0|0.0|3.28|-36.20974614|0.046339015|3.7253|55.20085753|7.4
11a_a50|0.15|-0.158172459|5.965221997|0.0|7.927685046000001|1|-0.048213112|0.2931724189999999|7.5619|-0.002914262|0.0|1.0|0.0|3.44|-19.89396594|-0.129547471|4.0636|35.26290548|7.2291
6d_a40|0.21|-0.039077432|6.908972922999999|0.0|8.421342866|1|-0.115007564|0.372705643|10.9021|-0.015362927|0.0|1.0|0.0|3.98|-48.96216855|-0.205140551|2.9559|84.70509846|8.9208
6c_a31|0.14|-0.078059285|8.102804662|0.0|7.78113851|0|-0.120905075|0.138124296|8.8847|-0.015192833|1.0|1.0|0.0|3.67|-50.62888027|-0.107687565|3.2974|96.63311186|6.4685
12i_a36|0.17|0.141564781|7.549683919|-4.787087299|7.412764017000001|0|-0.0850745409999999|0.332782117|6.6124|-0.016027043|0.0|0.0|0.0|4.8|-48.75024044|-0.009876543|3.7496|67.53484704|7.9208
1o_a5|0.0|-0.003561205|7.522366517000001|0.0|6.605297921|0|-0.079346457|0.447318682|5.4919|-0.002633927|1.0|1.0|0.0|2.81|-21.04383087|-0.008511304|4.1692|49.75766514|7.4559
1a_a18 (SB-431542)|0.05|-0.08530265|7.52384981|0.0|7.423568444|0|-0.126408788|0.210046675|8.8609|-0.015636898|1.0|1.0|0.0|3.25|-43.12110169|-0.0492229479999999|3295.0|94.56841061|6.9031
3k_a32|0.32|-0.127713677|6.153598893|0.0|7.97831097|1|-0.0711378679999999|0.31016741|5689.0|-0.005745086|1.0|1.0|0.0|3.47|-28.87643819|-0.077097565|3.5363|47.07915023|8.0605
7c_a8|0.09|0.0092411059999999|7.700542366|0.0|7.05012252|0|-0.080277893|0.292274414|15.7056|-0.007509694|1.0|1.0|0.0|3.44|-35.30467154|-0.118915929|3.1406|69.53125754|4.7307
5b_a50|0.1|0.019856551|5.543302677000001|0.0|7.927685046000001|1|-0.041157676|0.271653991|6.1284|-0.00141071|1.0|1.0|0.0|3.37|-15.78596849|-0.113846154|4.0222|27.10933752|4.9126
3b_a49|0.22|0.021506499|7.236413572000001|0.0|7.535296702|1|-0.0883601469999999|0.482434361|3.1637|-0.0057605869999999|1.0|1.0|0.0|3.37|-31.67356498|0.00361222|3.8418|62.35407961|7.6021
3b_a12|0.05|-0.008328578|6.6333156660000006|0.0|0.0|0|-0.064393592|0.073824142|8.5678|-0.007916598|1.0|1.0|0.0|3.82|-24.04018959|-0.003968827|3.7741|38.97406803|7.3098
5a_a50|0.14|-0.132977171|5.892775027000001|0.0|7.927685046000001|1|-0.038932964|0.2814514|5649.0|-0.00148647|0.0|1.0|0.0|3.5|-18.56865899|-0.130929632|4.0159|26.21058426|5.3872
1d_a5|0.05|-0.058872605|6.116537519|-4.455320158|6.605297921|0|-0.088396743|0.6271150670000001|5.3765|-0.006252818|1.0|1.0|0.0|2.92|-25.16889922|-0.010183824|4.6112|52.05055075|5.03
19k_a38|0.13|0.04833864|6.744851799999999|0.0|7.412764017000001|0|-0.112748779|0.389096157|12.5022|-0.011877064|0.0|0.0|0.0|4.89|-51.10918191|-0.0184136539999999|3.5378|86.30929885|7.9666
14a_a5|0.2|0.144729708|8.424031251|0.0|6.605297921|0|-0.080875277|0.4398855029999999|2.8163|-0.0053665219999999|1.0|1.0|0.0|3.24|-35.98151967|0.024793388|4.1501|66.43577392|6.9508
22_a4|0.11|0.086940934|5.495481464|0.0|7.535296702|0|-0.09491995|0.242642229|5.4110000000000005|-0.006436201|1.0|0.0|0.0|3.3|-20.77508795|-0.023072107|4.0537|50.75888571|7.3279
4o_a46|0.32|-0.121466731|5.527567399|0.160026534|7.825245291|0|-0.0648126359999999|0.372146122|4.8244|-0.000627744|0.0|1.0|0.0|3.73|-19.76117845|-0.06855792|4.3255|40.87645867|6.7905
27a_a34|0.13|-0.07177581|8.960143164|0.0|7.412764017000001|0|-0.106669294|0.4305370679999999|13.9023|-0.012620846|1.0|1.0|0.0|3.66|-60.54917431|-0.008138446|4.1228|93.41277507|6.6198
10_a4|0.26|-0.120059574|5.759414166|0.0|7.535296702|1|-0.051015897|0.43000216|2.2386|-0.002959121|1.0|1.0|0.0|3.46|-26.60798798|-0.090413559|3.6465|37.96666686|7.0555
1j_a5|0.05|-0.084090414|7.328149934|0.0|6.605297921|0|-0.073803258|0.35883584|3.0364|-0.003981454|1.0|1.0|0.0|2.76|-21.49609451|-0.032333695|4.1205|50.21875634|7.6198
13b_a5|0.17|0.03431921|8.427551282000001|0.0|7.153833802|0|-0.0694958329999999|0.468748106|4.7964|-0.004573365|1.0|1.0|0.0|2.97|-31.23446039|-0.017963913|4.1793|53.91565742|6.9586
41_a18|0.25|-0.032217299|8.787657952|0.0|7.03438793|0|-0.1020290859999999|0.3888308139999999|2721.0|-0.007587553|1.0|1.0|0.0|4.07|-41.89408289|0.0212700929999999|3.2123|76.49358329|6.433
7_a47|0.09|-0.04402021|6.485224033|0.0|0.0|1|-0.081264417|0.427432212|4.4255|-0.008206422|1.0|1.0|0.0|2.96|-30.51603217|-0.0781924059999999|3.7203|50.85512286|7.6
4h_a46|0.3|0.075704004|8.138240742999999|0.090767245|7.825245291|0|-0.083155747|0.659584488|2.9086|-0.005778576|0.0|1.0|1.0|4.63|-51.70985599|-0.09922757|4.18|73.14480467|6.6402
12b_a50|0.11|0.009081884|5.7232816060000005|0.0|7.927685046000001|1|-0.045602469|0.24516882|5.6617|-0.002929899|1.0|1.0|0.0|3.31|-16.72031641|-0.115659308|3.9305|33.72918462|5.3242
19_a34|0.18|0.08178394|5.495780422|0.0|7.412764017000001|0|-0.112877411|0.308793959|5.0441|-0.013066507|1.0|1.0|0.0|3.07|-31.24772528|-0.014196676|4.1721|76.05407906|6.0044
9a_a31|0.14|0.045292529|7.812278516|0.0|7.765993078999999|0|-0.100906991|0.235442032|6.2203|-0.01391798|1.0|1.0|0.0|3.6|-50.50275387|-0.0007638889999999|3.7892|86.0923113|6.8239
3b_a32|0.13|0.094335058|5.765940603|0.0|7.758333467000001|1|-0.073068133|0.2719741|5.7777|-0.007388108|1.0|1.0|0.0|3.11|-24.14971513|0.10614163|3.5545|43.023961|8.2366
12b_a32|0.26|-0.0533240309999999|7.076348793999999|0.0|7.765993078999999|1|-0.081450418|0.2996018789999999|4.1080000000000005|-0.009432679|1.0|1.0|0.0|3.47|-38.07076621|-0.053480599|3.5703|61.06285882|7.585
LY364947_a10|0.0|-0.072740964|4.702575386|0.0|6.605297921|1|-0.076999385|0.449473391||-0.00235945|1.0|1.0|0.0|2.46|-14.69643595|-0.006198347||38.29163558|7.2291
12w_a30|0.14|-0.032835151|8.063690539|0.0|7.412764017000001|0|-0.076611264|0.4274948739999999|3.0068|-0.007019432|0.0|0.0|0.0|4.63|-45.15435649|-0.04950715|3.5585|63.12469722|7.821
19b_a38|0.14|0.019437461|7.159317935|0.0|7.412764017000001|0|-0.086013549|0.336505882|6.3396|-0.008652352|0.0|0.0|0.0|4.82|-44.51968852|-0.0697981979999999|3.7509|67.31146923|7.9172
3e_a32|0.24|-0.061561535|5.863649531|0.0|7.773594467000001|1|-0.073411249|0.290874543|5.6928|-0.006553709|1.0|1.0|0.0|3.33|-29.05885545|-0.080731823|3.5589|46.25723848|8.0862
21a_a23|0.09|0.1022509819999999|7.950891003|0.0|7.525639975|1|-0.051521215|0.224766417|7.9309|-0.005708466|0.0|1.0|0.0|3.53|-35.88602363|-0.083864151|3.6993|41.64701536|6.9914
19a_a38|0.14|0.031696119|6.923156054|0.0|7.412764017000001|0|-0.08593151|0.298938581|6.0223|-0.007986407|1.0|1.0|0.0|4.83|-38.69037594|-0.077535135|3.6504|64.59623135|8.0106
15c_a22|0.08|-0.096749121|8.626398368|0.0|6.842683282|1|-0.067475429|0.615901609|9.0393|-0.005236206|1.0|1.0|0.0|3.49|-41.51455167|0.006275578|3674.0|66.26407672|6.1325
4e_a49|0.22|0.0063958109999999|7.934910277|0.0|7.535296702|1|-0.09422276|0.433385455|4.8707|-0.006602016|1.0|1.0|0.0|3.35|-33.05708028|0.018857363|3.7876|68.30753733|7.4685
8g_a8|0.04|0.121495775|7.440878437999999|0.0|7.535296702|0|-0.136742629|0.298992226|7.5762|-0.014340328|0.0|0.0|0.0|3.31|-48.6934008|-0.03728368|3.7495|102.8541256|5.3768
14ad_a23|0.12|0.165157698|8.661363236|0.0|7.423568444|1|-0.059168372|0.224009311|6.7584|-0.00790478|0.0|1.0|0.0|3.73|-43.85199724|-0.031279567|3.3867|66.47100256|8.3595
3l_a32|0.35|-0.136589369|6.414825717|0.0|7.773594467000001|1|-0.069304303|0.270668623|5.7721|-0.0054004|0.0|1.0|0.0|3.58|-29.90181954|-0.107818594|3.5319|47.42414825|7.9208
18_a20|0.08|-0.107446431|8.011174137000001|0.0|6.842683282|1|-0.0927760219999999|0.356461863|8.0505|-0.008841844|1.0|1.0|0.0|3.48|-42.1615378|-0.054458882|3.5355|68.92770059|7.4685
9_a10|0.23|-0.000865755|8.765421221|0.0|7.535296702|1|-0.057690053|0.6816795959999999|4942.0|-0.004530817|1.0|1.0|0.0|4.0|-42.40634438|-0.1048161059999999|3.7309|50.72029356|6.7144
3c_a49|0.18|0.005559828|6.567311051|0.0|7.535296702|1|-0.071786669|0.501887054|3.7789|-0.004876919|1.0|1.0|0.0|3.18|-24.24485565|0.0127926339999999|3842.0|49.52988301|7.0605
17_a47|0.08|-0.034891905|7.055517075|0.0|6.605297921|1|-0.07185129|0.522140199|5.6949|-0.003764469|1.0|1.0|0.0|3.44|-30.88080199|-0.006331624|4.2784|51.70735256|8.3
16_a4|0.11|-0.0894138519999999|5.548106463|0.0|7.535296702|0|-0.073335635|0.292255386|1.9873|-0.00228637|0.0|0.0|0.0|3.26|-19.42906425|0.019290123|4.2257|42.88070889|6.4647
8e_a12|0.14|-0.036433876|6.446557205|0.0|6.803505258|1|-0.05202522|0.001151979|1.9327|-0.006350143|1.0|1.0|0.0|4.11|-28.78776717|-0.0309579439999999|3.3044|38.67488258|6.2306
3_a20 (SB-525334)|0.24|0.087932573|5.943823875|-0.08980269|6.880384082000001|1|-0.061128029|0.246005838|4.8164|-0.005492814|1.0|1.0|0.0|3.37|-29.26136697|-0.119584218|3.1728|41.49386505|6.7905
11_a33|0.13|0.003391835|5.24049311|0.0|7.686621335|1|-0.070841241|0.229250542|4.5998|-0.008708023|1.0|1.0|0.0|3.19|-24.74805685|-0.008908194|3.5049|50.78279943|8.3188
1m_a5|0.0|0.077347244|6.911100301|0.0|6.605297921|0|-0.070959368|0.429612762|2.4582|-0.002410445|1.0|1.0|0.0|2.69|-19.83596661|-0.011848312|4.3983|42.13785007|7.3665
14k_a23|0.05|0.140087361|8.21201115|0.0|7.423568444|1|-0.0562483359999999|0.226547411|8.3627|-0.005866159|0.0|1.0|0.0|3.39|-35.38329134|-0.055708465|3.6421|49.96154892|8.4123
14v_a23|0.09|0.132882353|7.743452839|-4.844615416|7.423568444|1|-0.067342061|0.31419322|6.3758|-0.014768546|0.0|1.0|0.0|3.62|-41.35406587|-0.015149431|3694.0|57.56282152|8.4001
