molecula|NaaNH|Molar refractivity|WNSA4|n5aRing|NaasN|GRAV|nAHRing|nARing|nFaHRing|Gibbs Free Energy|AATSC1are|Solubility [Log S (SILICOS-IT)] (mg/ml)|Num. of Aromatic heavy atoms|pIC50
15b_a10|0|123.73|-11.32690674|1|1|6105.426726|1|1|1|-1317.4913390000002|0.011484257|2.73e-06|21.0|7.0706
4g_a49|0|198.32|-24.82733433|2|2|11516.07629|2|2|2|-2147.295787|0.007953069|1.4199999999999998e-11|42.0|6.9747
4o_a46|0|103.66|-6.587059484|1|1|4966.476822|1|1|0|-1070.276387|0.010870588|1.88e-05|17.0|6.7905
12aw_a36|1|123.67|-16.96573876|1|0|6370.06138|2|2|0|-1431.239759|-0.006877664|3.17e-05|17.0|8.0458
27c_a34|0|119.71|-19.35960719|1|1|6308.331369|1|1|0|-1426.31053|-0.008017781|9.1e-06|23.0|6.0969
5_a47|0|101.51|-10.74353333|0|0|5501.708422|0|0|1|-1569.258939|-0.012670377|7.590000000000001e-07|22.0|7.7
4f_a49|0|102.08|-9.866320682|1|1|5422.650822|1|1|1|-1179.080799|0.001532832|0.000104|21.0|7.3979
11d_a5|1|114.29|-11.84243331|1|0|5283.02167|0|0|0|-1238.914819|0.008307337|8.909999999999999e-07|23.0|7.8239
9a_a40|0|86.7|-7.51786994|2|1|3991.317015|0|0|1|-1217.873686|0.01310675|0.000117|20.0|6.6696
3_a27|0|97.71|-8.663302268999999|1|2|4960.583812|0|0|1|-1081.794829|0.009082086|0.000423|21.0|8.3979
13h_a6|1|128.63|-15.82689691|1|0|6302.785260000001|0|0|1|-1386.3651|-0.002407131|1.15e-08|27.0|7.3279
9_a3|0|92.69|-8.445224386|1|0|4430.929894|0|0|0|-1256.002529|-0.004918099|1.67e-05|21.0|4.96
47u_a18|0|133.53|-16.72263667|0|0|6837.350959|1|1|0|-1509.839543|-0.000829573|2.89e-06|18.0|5.7055
3f_a32|1|102.66|-9.580412233|3|0|4993.667711|0|0|1|-1711.9193289999998|0.001276735|1.73e-05|19.0|8.0458
47t_a18|0|129.21|-18.17831387|0|0|6603.597038|1|1|0|-1470.593659|-0.006573438|1.36e-05|18.0|6.1068
8j_a46|0|96.94|-7.405468973|1|1|4759.107832|1|1|0|-1414.402087|0.011852046|1.85e-05|17.0|5.9108
16f_a32|1|116.75|-17.03501995|3|0|6235.040893|0|0|1|-1995.117771|-0.003511776|7.26e-06|19.0|8041.0
14l_a23|0|125.25|-14.29549842|2|2|6444.7098240000005|0|0|1|-1669.04569|0.01269616|7.03e-06|26.0|8.1798
13a_a5|1|114.18|-11.59515363|1|0|5628.9694|0|0|0|-1312.968936|0.002355511|5.02e-07|23.0|7041.0
